engine_temp,engine_rpm,oil_level,vehicle_mileage,vibration,health_score
60.9,2649,76.6,13755,2.94,80
115.7,1874,76.4,179776,2.97,40
85.7,1545,19.8,100296,0.33,75
118.0,4504,20.6,175738,2.28,5
117.8,2827,11.7,39661,0.94,50
111.2,4396,35.4,77277,2.74,15
77.7,892,50.0,150600,0.36,85
83.1,2822,99.8,113693,2.68,80
111.1,4573,45.9,88802,0.11,60
79.0,3091,74.0,154926,1.61,85
70.2,3075,70.9,62236,1.07,100
93.4,4329,24.4,42494,1.34,60
116.2,1027,10.6,60480,1.36,50
101.8,3572,56.9,176874,2.0,25
94.2,706,71.5,150130,0.17,85
65.8,4219,99.8,70084,2.1,65
96.9,3933,39.1,160574,0.16,20
119.4,4592,90.2,193269,0.64,45
68.4,1825,41.3,58204,1.86,80
91.1,4604,70.5,14263,0.35,85
112.6,4850,61.8,198160,2.97,25
104.4,3968,10.0,144178,2.37,5
101.8,1495,12.4,83312,2.15,30
102.1,4505,7.0,15396,0.88,35
81.6,2220,40.2,26455,0.24,100
77.6,4463,75.9,114547,2.94,65
108.6,2892,21.4,54490,0.53,50
108.6,1985,62.6,131720,2.51,40
112.0,4499,32.4,55546,0.67,35
114.8,4192,80.7,64396,1.18,60
90.7,3033,80.8,33588,2.11,80
90.1,3406,78.7,64202,2.84,80
107.9,3983,54.9,115159,0.16,60
99.0,1901,32.0,114809,0.86,50
102.1,1358,81.9,21829,2.32,55
107.7,1346,22.7,180130,0.6,35
113.4,1192,32.5,103180,0.42,50
80.3,3486,22.5,84715,0.23,75
82.5,4711,69.0,36984,1.56,85
65.6,1668,70.2,198742,2.33,65
94.7,3907,67.0,133249,2.89,50
62.2,1302,44.5,149755,0.88,85
87.9,704,14.5,186205,0.45,60
92.6,2097,91.6,97042,1.27,100
77.2,4433,53.2,63276,0.26,85
95.4,995,43.7,11693,1.06,75
61.8,4117,60.9,135214,1.96,50
62.2,3253,23.3,116656,0.59,75
109.4,3891,17.6,175694,1.93,5
81.6,2610,43.5,88564,2.92,80
67.6,4481,26.6,196512,2.61,25
91.3,2588,28.2,61291,1.13,75
106.2,2268,89.8,2472,1.32,75
72.9,1651,55.4,185718,1.32,85
97.4,3441,50.9,80836,2.59,55
65.1,4184,70.5,30549,2.98,65
63.1,947,95.4,78554,2.5,80
91.9,1863,15.7,156898,1.72,60
92.4,3342,84.2,68646,0.38,100
98.2,2673,60.5,79142,2.87,55
103.6,3748,18.9,139873,2.59,5
118.6,1951,33.2,123937,2.54,15
91.0,3421,50.8,109530,1.24,100
79.4,4427,70.7,97347,1.4,85
107.7,1269,28.0,92358,0.45,50
76.2,3246,55.8,119343,2.82,80
86.3,866,70.0,258,2.84,80
64.7,2038,47.6,137940,0.84,85
61.5,3293,87.0,6817,2.12,80
117.8,1622,87.6,38512,0.69,75
110.2,2637,49.7,30856,1.24,75
101.8,1164,97.4,143164,0.98,60
84.5,1659,12.2,189331,1.23,60
70.4,2024,5.3,96636,1.0,75
69.4,4723,41.2,130571,1.1,70
75.0,819,62.1,184166,2.39,65
93.0,1005,64.8,82157,0.97,100
102.9,2237,50.3,36123,2.46,55
99.6,2918,16.9,189103,1.75,35
76.8,2359,21.2,88521,2.36,55
117.3,2274,86.0,185930,2.76,40
104.3,1391,87.5,1158,0.5,75
93.3,4182,69.0,190545,1.1,70
96.7,1909,68.1,98898,0.26,75
85.2,4433,61.8,195792,1.28,70
74.9,1930,24.3,18134,0.79,75
81.4,1110,45.7,16786,1.76,100
105.5,3172,71.1,90933,2.37,55
60.9,4529,56.0,184062,1.51,70
67.0,1091,6.8,182764,1.07,60
62.8,2217,95.6,55030,0.54,100
62.4,2656,85.3,10494,0.18,100
111.3,2120,29.8,26273,2.07,30
102.2,2183,63.6,94040,0.19,75
88.5,2175,92.7,145832,2.77,65
65.9,4546,14.1,38302,1.82,40
89.5,2361,52.8,70822,1.12,100
88.4,2591,48.3,198221,0.22,85
70.4,3779,44.0,45540,1.3,85
86.0,3926,84.4,163502,2.62,50
83.9,1646,41.2,38419,2.91,80
97.0,3492,11.0,134624,0.35,35
98.1,3213,11.3,59571,2.35,30
62.7,4492,9.1,154694,0.85,45
82.5,4744,43.9,48829,1.2,85
97.6,1061,73.2,136068,1.69,60
90.2,1981,24.4,34232,2.98,55
111.4,1745,66.4,62083,0.71,75
99.5,4115,70.3,54034,0.48,60
69.8,792,29.2,39379,1.83,55
64.2,4134,62.1,162074,2.57,50
98.5,1355,70.1,35868,1.98,55
61.6,2284,49.3,26532,1.11,100
95.1,3125,37.0,36861,2.93,30
116.4,1427,63.8,152307,2.99,40
94.5,1489,97.9,108532,2.33,80
83.3,3055,45.5,134651,2.43,65
98.6,2933,42.2,189016,2.31,40
87.5,710,49.1,25619,0.85,100
92.7,1392,12.2,21829,0.54,75
116.5,3243,57.6,20912,1.71,75
83.2,4014,36.2,171406,2.87,25
117.7,1909,16.5,173073,2.65,15
114.3,896,49.3,165413,0.41,60
71.7,2229,5.3,143735,0.27,60
64.2,1168,43.2,22104,2.63,80
66.0,4711,15.0,173395,1.88,25
61.1,671,7.3,179349,0.98,60
65.7,4965,83.3,148712,1.73,70
101.0,4982,92.0,148583,0.74,45
64.3,665,24.7,189439,2.85,40
79.1,1479,56.2,98235,2.5,80
110.7,667,31.4,175726,2.89,15
61.4,1816,51.9,117472,0.64,100
108.9,3627,46.5,94428,2.55,40
76.9,3839,30.6,55233,1.72,60
67.1,4080,71.5,132121,1.04,70
101.8,1107,17.0,103487,1.49,50
97.7,4314,10.0,67837,2.84,15
112.6,3484,77.9,195832,2.11,40
104.1,1725,68.3,58498,1.14,75
108.2,1485,52.4,114717,3.0,55
76.9,3441,49.4,123666,1.1,85
70.6,4477,52.3,110601,2.46,65
105.0,3125,46.5,167038,2.37,40
108.4,1525,42.3,174777,2.2,40
119.4,4815,52.5,129147,2.04,25
84.8,2538,55.2,116052,0.42,100
82.3,4414,70.7,192562,2.99,50
106.6,3962,72.6,184717,0.57,45
80.4,3832,40.9,199303,1.83,50
115.8,4344,44.3,90641,0.82,60
111.5,4065,40.5,186104,0.59,45
85.7,1040,56.0,73685,1.72,100
105.1,4211,48.1,146104,2.53,25
105.3,1061,89.5,195293,1.19,60
66.2,1211,71.2,153315,0.32,85
114.2,4071,90.4,45915,1.91,40
90.3,3763,72.4,108962,2.32,65
109.6,605,97.2,17379,0.96,75
79.2,4570,65.4,72401,2.1,65
113.7,3458,96.5,79146,0.32,75
83.4,3206,20.0,89416,1.15,75
60.7,698,10.0,133703,1.47,60
114.3,1125,60.0,129140,2.37,40
65.5,1780,98.4,98567,1.08,100
79.2,2289,44.7,171524,1.42,85
117.0,1738,25.1,61196,1.92,30
117.0,3671,54.5,13830,1.91,40
94.4,3527,66.6,155668,1.6,70
97.9,3392,34.9,43484,1.05,50
86.9,614,72.9,94756,2.04,80
77.6,3015,97.6,25772,2.53,80
79.7,3285,90.2,5116,0.55,100
100.4,3500,32.7,81839,1.09,50
105.1,1836,36.0,123085,2.04,15
107.5,4700,40.3,1636,2.29,40
107.4,3820,42.5,172662,2.37,25
65.5,2207,14.5,92338,1.99,55
89.7,4163,77.4,7811,1.49,85
63.5,3897,39.7,146295,1.97,25
93.0,3233,88.6,141653,0.49,85
86.5,4490,93.1,20919,0.7,85
113.3,4864,7.3,83018,2.79,15
81.1,3408,98.9,180513,2.77,65
67.0,1391,72.5,133676,2.2,65
68.6,1599,54.4,195727,1.05,85
105.7,751,42.0,129672,1.98,40
97.1,3663,54.3,131279,2.09,25
66.1,2691,35.8,139535,1.59,60
65.0,4682,64.2,167518,2.27,50
102.1,4626,13.8,101772,0.19,35
64.4,3577,64.0,12671,0.84,85
109.3,1442,31.2,9476,2.4,30
102.4,4393,6.7,4986,2.82,15
64.9,2670,57.5,108158,2.64,80
65.1,2259,60.0,159662,2.18,65
119.2,1197,45.5,146598,0.58,60
82.5,3113,11.9,42001,1.17,75
82.2,4735,89.9,53242,0.25,85
108.8,4870,63.1,6803,1.96,40
116.8,4203,16.0,51446,1.4,35
119.2,1816,53.5,11905,1.76,75
105.2,2891,52.2,128295,2.94,40
82.6,4411,10.7,2461,1.27,60
65.0,1531,62.7,58687,0.99,100
106.6,2738,81.8,136745,0.54,60
93.5,4602,76.2,177844,0.52,70
85.5,3578,24.3,128860,1.6,45
114.4,4492,86.9,75956,2.27,40
66.7,3518,37.5,82863,1.74,60
89.6,3164,94.9,29564,2.63,80
60.7,2363,11.8,69692,1.02,75
88.1,2770,51.2,12251,1.83,80
63.4,935,61.7,79056,2.02,80
67.1,1776,28.5,132977,0.91,60
67.1,3621,78.3,183280,1.25,70
99.0,1378,64.6,193166,1.81,40
104.8,1785,6.7,147806,0.16,35
95.0,3885,62.8,157958,2.67,50
117.7,4047,51.7,194683,0.42,45
82.5,4591,23.6,167149,0.24,45
77.1,3070,99.6,5661,0.72,100
112.1,1538,90.2,3838,1.56,75
73.4,4606,32.8,42073,1.05,60
117.8,2535,56.4,141450,1.38,60
60.7,1233,35.1,139130,0.34,60
118.2,1853,78.7,198597,0.78,60
62.6,1682,93.4,75113,0.38,100
113.5,2743,39.1,89806,0.77,50
91.7,1885,81.5,33884,2.14,80
119.6,953,52.3,123013,1.77,60
64.4,2485,42.7,159599,1.07,85
93.2,2418,94.2,173259,0.86,85
118.2,3120,53.5,169807,2.99,40
91.4,4608,49.4,147053,2.33,50
97.8,3622,68.9,125989,2.48,25
101.7,3184,29.8,62457,0.18,50
87.3,2147,35.9,158152,0.27,60
97.7,4618,93.5,11797,2.17,40
95.1,4804,69.5,57056,0.66,60
114.1,1968,83.5,26457,1.33,75
62.7,3937,30.8,151989,0.63,45
76.9,2357,56.7,8871,0.61,100
117.0,2117,97.3,150125,0.42,60
113.4,4084,35.3,197799,1.82,5
87.3,4285,20.2,83050,2.24,40
97.2,3652,53.5,190487,0.26,45
76.6,3296,41.8,38398,0.9,100
71.3,790,20.2,75058,2.01,55
87.8,1532,89.4,5030,1.24,100
81.2,4837,99.1,1381,2.14,65
95.0,3838,59.0,147825,2.3,50
64.7,2815,78.6,136164,0.19,85
118.5,1165,86.6,52946,1.2,75
119.2,1734,71.6,87620,2.21,55
101.9,1343,9.2,80093,1.2,50
92.2,1272,20.0,125370,0.12,60
78.6,3511,11.7,189592,1.08,45
108.8,1130,5.9,139639,2.63,15
101.1,3621,34.1,158938,2.86,5
69.8,1161,42.3,165783,1.73,85
114.7,901,27.9,115645,0.99,50
109.4,4367,11.1,179815,1.45,20
117.0,4880,55.3,25386,0.78,60
103.5,1109,31.0,23013,0.59,50
96.8,4045,80.6,6885,1.53,60
85.1,2803,5.8,106905,2.24,55
116.0,3434,85.0,163893,0.75,60
112.0,1394,95.7,145117,2.74,40
62.7,3079,73.0,18780,0.59,100
61.6,2123,74.7,156622,1.72,85
82.6,2794,93.7,89771,2.35,80
108.6,3128,24.9,78377,0.72,50
119.2,1034,99.5,48284,0.96,75
69.0,2638,78.5,60238,0.25,100
95.6,2306,74.0,47184,2.84,55
82.9,668,39.3,191695,1.51,60
118.2,2504,56.8,152377,0.29,60
110.5,4559,67.1,40021,2.51,40
110.3,3551,63.9,128446,1.75,45
88.1,3313,72.0,43184,0.26,100
84.9,3969,12.8,18942,1.41,60
76.4,4327,38.8,155786,1.36,45
63.4,3004,46.2,51672,0.52,100
111.9,3925,29.8,112437,1.32,35
108.8,4146,21.4,86557,0.92,35
120.0,2903,18.2,43201,2.13,30
119.8,4281,39.8,63296,0.12,35
93.3,3821,51.9,184051,0.41,70
106.1,4974,11.0,88549,2.76,15
116.7,1682,94.9,83257,1.36,75
111.0,1045,77.7,77817,0.61,75
74.8,2192,74.4,14008,2.4,80
87.0,3375,21.4,60196,2.57,55
67.7,4416,62.4,2294,0.71,85
117.2,3653,55.3,19061,2.17,40
96.4,2190,98.3,55733,1.88,55
73.7,2831,76.0,98376,2.26,80
100.3,2161,59.7,171076,2.38,40
97.1,4872,85.8,80625,2.02,40
81.5,4246,19.7,122007,2.87,25
66.8,3838,6.4,125758,2.61,25
100.3,2200,70.6,182365,0.76,60
91.2,2656,14.3,184754,2.75,40
106.3,4931,16.0,124686,1.14,20
91.2,1309,75.7,10237,2.21,80
111.1,3571,30.7,11694,2.56,15
93.1,3332,64.7,86472,1.37,100
93.7,1393,92.2,141540,0.25,85
112.6,3699,35.1,149533,2.85,5
84.2,3455,25.6,74062,0.31,75
68.0,626,15.1,119443,1.11,75
61.7,3867,17.4,78000,1.83,40
105.3,684,10.9,76599,0.44,50
97.2,3701,13.3,13064,2.53,15
102.2,1722,46.0,144661,0.69,60
72.8,611,35.5,184396,2.96,40
68.2,2348,72.1,132004,2.76,65
60.9,3709,87.7,148091,1.85,50
81.0,2476,79.6,55835,2.01,80
95.4,3219,55.4,153229,1.65,60
83.5,779,14.7,52381,1.23,75
86.2,1396,72.4,17574,1.12,100
114.2,4413,39.5,179384,2.69,5
80.9,2624,13.1,32779,1.77,75
90.8,3817,85.0,110498,2.49,65
107.0,1486,37.1,161960,1.59,35
83.8,3068,25.7,111422,0.99,75
97.3,3987,87.8,26025,0.37,60
111.7,2119,90.7,139132,1.04,60
117.0,3032,37.2,164288,2.65,15
68.8,1516,38.7,73197,2.16,55
115.6,2670,60.1,100800,2.38,55
89.5,4576,74.7,64617,2.34,65
75.5,2381,11.0,131498,0.45,60
87.5,938,61.4,25491,0.56,100
118.8,2116,95.5,19553,1.02,75
89.6,3470,29.9,143990,0.97,60
79.7,4182,91.3,12513,0.29,85
98.0,1514,95.3,147902,0.55,60
74.4,3890,30.6,190326,2.58,25
64.6,2046,76.6,175767,1.81,65
67.7,1979,27.7,161243,1.09,60
67.7,2083,75.1,133322,1.63,85
69.1,2674,80.8,56263,0.86,100
68.3,1400,28.5,62114,1.79,75
98.5,1846,73.0,2681,0.32,75
70.9,3337,82.1,194575,2.72,65
80.7,4095,39.1,83321,0.8,60
113.8,3857,20.9,134479,2.48,5
88.4,4477,13.7,39529,2.01,40
100.1,1581,59.7,48901,1.62,75
70.3,3076,97.9,17427,2.8,80
71.5,2688,83.2,129463,0.55,85
62.5,3552,46.4,21747,0.45,85
70.1,1611,56.0,13555,1.03,100
76.7,4064,31.6,93130,2.51,40
70.6,3350,20.5,196999,0.2,60
65.3,2726,50.8,23263,0.79,100
67.2,4461,49.0,136199,1.33,70
87.6,3191,54.6,104893,2.17,80
72.4,2073,95.5,61453,0.97,100
81.9,3121,62.4,108930,1.4,100
90.2,1765,62.5,58389,1.08,100
101.4,3922,17.2,143584,0.37,20
62.4,1209,99.7,63722,2.24,80
108.0,2783,78.4,135109,1.44,60
97.7,3131,88.3,93159,2.46,55
64.9,3461,44.4,137926,2.11,65
112.4,2255,52.7,156805,0.27,60
115.3,2355,54.6,34311,1.55,75
63.7,645,23.4,17175,2.97,55
76.6,1859,70.5,55195,0.99,100
108.4,3832,90.8,28090,1.53,60
104.9,2051,20.6,194551,1.99,15
71.1,2718,13.2,45636,0.69,75
72.6,3167,75.1,169938,2.14,65
82.2,2592,31.0,98248,2.01,55
89.1,3723,64.3,105752,1.19,85
97.1,2940,71.1,185006,0.92,60
82.1,2088,35.6,73334,2.77,55
87.8,2173,82.4,110956,0.47,100
104.8,3027,57.2,53111,1.35,75
62.2,2366,87.6,86284,2.32,80
75.1,4149,77.5,1716,0.53,85
102.8,2909,87.5,36404,2.81,55
113.7,3004,6.9,175396,1.63,35
90.7,2042,28.1,73406,1.56,75
91.9,2576,13.6,187585,1.33,60
66.4,4573,47.0,79218,2.62,65
86.8,3090,89.5,153127,2.85,65
92.0,1325,49.4,176205,1.2,85
74.5,4403,85.7,71262,1.67,85
76.2,4981,36.1,7557,1.01,60
82.6,4427,37.3,97304,1.17,60
61.2,4219,90.1,128301,0.18,70
79.3,3487,45.5,35486,2.38,80
72.7,1097,80.0,51557,2.91,80
79.6,4576,27.5,40655,2.33,40
67.2,1304,95.1,193470,1.6,85
113.4,4727,59.6,126045,2.5,25
95.6,4281,77.1,89638,2.59,40
100.7,4738,13.5,63823,1.68,35
107.4,2516,51.8,113827,2.82,55
89.9,1974,90.6,106836,0.19,100
65.2,2445,88.3,84801,0.13,100
92.2,2036,9.4,23094,0.34,75
95.2,3690,33.9,129095,0.27,20
104.7,1970,47.1,144425,1.33,60
85.9,2528,21.4,61850,2.83,55
67.7,2236,74.3,177025,2.06,65
77.0,691,22.5,164483,2.01,40
81.8,2443,37.9,114708,1.22,75
98.8,784,68.0,11264,1.65,75
94.2,2171,50.8,164517,0.98,85
81.4,1431,75.2,147003,1.6,85
119.2,2725,96.3,42059,2.27,55
96.3,4862,16.1,2650,1.72,35
74.2,863,72.4,43024,1.31,100
66.1,1886,26.9,142664,2.55,40
69.2,2129,44.4,56238,0.93,100
74.8,2408,8.1,174903,1.5,60
69.6,2477,17.9,174462,2.94,40
71.2,2349,35.4,71220,2.91,55
77.1,2509,37.5,182911,0.12,60
70.4,3223,90.5,144529,1.64,85
113.8,1797,75.5,116104,1.08,75
64.8,3078,97.4,7074,0.94,100
91.5,3110,61.9,183725,1.83,65
84.6,700,28.0,57344,1.39,75
118.9,3687,36.1,116776,2.23,15
66.7,2519,35.4,183880,0.18,60
83.9,2891,36.0,184991,2.79,40
118.2,3920,68.9,32979,1.75,60
111.9,704,55.4,177484,2.08,40
109.0,1293,41.6,69258,1.85,55
75.5,3840,19.2,142781,2.97,25
70.3,4091,7.1,42925,2.96,40
100.1,3992,25.8,147759,1.87,5
115.8,2868,15.2,65066,2.08,30
93.4,4383,79.6,36540,1.89,65
94.3,4112,15.7,18165,1.0,60
76.8,1489,73.8,177961,0.66,85
106.2,1389,41.6,62055,1.27,75
71.2,1258,12.0,160266,2.08,40
79.4,1618,82.2,172839,0.26,85
85.5,2553,60.1,186963,1.59,85
90.5,1790,27.4,187497,1.28,60
74.5,4306,90.0,142454,1.63,70
66.9,4257,9.3,94154,2.59,40
96.6,2896,24.2,86123,0.24,50
77.3,1374,76.4,66889,2.31,80
94.9,3411,72.4,73907,2.03,80
69.3,1980,32.5,74608,0.69,75
